,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
310,1060.3304282241288,12267.281945543564,228496.64428946885,43594.456403495555,230.1550680773571,113.5168176434026,0.7800000003887767,4,0.4966439116165517,0.031786228150362125,27361.87299431523,7581.233142582357,0.18,False,1.3376770440212066e-05,-0.046268816780731734,0.0,op_mission:main_route:descent
311,1065.3304282241288,12214.055927980995,229646.18805770768,43593.94934141854,230.1550680773571,113.99419862533497,0.7800000003887767,4,0.4924872365327528,0.03159050476469988,27422.59037183234,7645.131100847712,0.18,False,1.3469214927524496e-05,-0.046261915185033836,0.0,op_mission:main_route:descent
312,1070.3304282241288,12160.83784410602,230795.7321932636,43593.43447184881,230.1550680773571,114.47351556810428,0.7800000003887767,4,0.488365874295266,0.031399325347111394,27486.330821626143,7709.557974089392,0.18,False,1.3561895405491458e-05,-0.046260855923242014,0.0,op_mission:main_route:descent
313,1075.3304282241288,12107.620977899256,231945.27638519075,43592.911690754474,230.1550680773571,114.95483688174653,0.7800000003887767,4,0.4842790065634376,0.031212565729652794,27553.09441424723,7774.526291195415,0.18,False,1.3654822773243601e-05,-0.04626561016992555,0.0,op_mission:main_route:descent
314,1080.3304282241288,12054.398646476431,233094.8203240988,43592.38089186121,230.1550680773571,115.43823172643077,0.7800000003887767,4,0.48022583734495405,0.03103003961584352,27622.82377361072,7840.048851785599,0.18,False,1.3748007997625602e-05,-0.04627601409411558,0.0,op_mission:main_route:descent
315,1085.3304282241288,12001.164355288494,234244.36370922354,43591.84196658963,230.1550680773571,115.92376859856388,0.7800000003887767,4,0.47620560416461877,0.030851605083687082,27695.49664871898,7906.138537136641,0.18,False,1.38414618386972e-05,-0.04629198584054584,0.0,op_mission:main_route:descent
316,1090.3304282241288,11947.91170389189,235393.90624395706,43591.294804015364,230.1550680773571,116.41151617077598,0.7800000003887767,4,0.47221757008838955,0.03067714099583245,27771.10657165448,7972.808425051037,0.18,False,1.3935195010578033e-05,-0.04631348001987485,0.0,op_mission:main_route:descent
317,1095.3304282241288,11894.6343440342,236543.44763380298,43590.73929081444,230.1550680773571,116.90154367147692,0.7800000003887767,4,0.46826101998788844,0.03050648234852199,27849.604766851146,8040.071844328221,0.18,False,1.4029218252530097e-05,-0.04634035169225334,0.0,op_mission:main_route:descent
318,1100.3304282241288,11841.326094096137,237692.98759158212,43590.17531120109,230.1550680773571,117.3939198271228,0.7800000003887767,4,0.46433526842595535,0.03033953656766763,27931.00498670186,8107.942232081518,0.18,False,1.4123542124232433e-05,-0.04637260193943528,0.0,op_mission:main_route:descent
319,1105.3304282241288,11787.980771238019,238842.52582955922,43589.60274688281,230.1550680773571,117.88871440184965,0.7800000003887767,4,0.46043964663755854,0.030176164302692758,28015.276325051436,8176.433347731754,0.18,False,1.4218177299382532e-05,-0.0464101266262237,0.0,op_mission:main_route:descent
320,1110.3304282241288,11734.592312355137,239992.06206496045,43589.021476987735,230.1550680773571,118.38599708076792,0.7800000003887767,4,0.4565735109383211,0.03001625647186721,28102.41296333181,8245.559122413639,0.18,False,1.4313134349638177e-05,-0.04645287990923854,0.0,op_mission:main_route:descent
321,1115.3304282241288,11681.154707073054,241141.5960167792,43588.4313780102,230.1550680773571,118.88583808690336,0.7800000003887767,4,0.45273623728381945,0.029859724207150242,28192.426114699156,8315.333747059693,0.18,False,1.440842386086325e-05,-0.04650085518876286,0.0,op_mission:main_route:descent
322,1120.3304282241288,11627.661952639828,242291.127403591,43587.83232374434,230.1550680773571,119.38830860799447,0.7800000003887767,4,0.448927217636514,0.02970644012983844,28285.289083806627,8385.771736015156,0.18,False,1.4504056512060033e-05,-0.04655395643275561,0.0,op_mission:main_route:descent
323,1125.3304282241288,11574.108156735401,243440.65594825032,43587.22418520856,230.1550680773571,119.89347983607009,0.7800000003887767,4,0.4451458668880358,0.029556328655975295,28381.021948430487,8456.887796558083,0.18,False,1.4600042890115764e-05,-0.046612196587426075,0.0,op_mission:main_route:descent
324,1130.3304282241288,11520.487412201597,244590.18137197872,43586.60683058582,230.1550680773571,120.40142414786169,0.7800000003887767,4,0.4413916135494101,0.029409293974571128,28479.62443124675,8528.696998374791,0.18,False,1.4696393712119945e-05,-0.046675540140852526,0.0,op_mission:main_route:descent
325,1135.3304282241288,11466.793852750323,245739.70339687244,43585.980125141126,230.1550680773571,120.9122145902363,0.7800000003887767,4,0.4376639033869443,0.029265238680706865,28581.093004673032,8601.214706203627,0.17999999999999997,False,1.47931197247037e-05,-0.04674394329502105,0.0,op_mission:main_route:descent
326,1140.3304282241288,11413.021662492438,246889.22174626804,43585.34393114649,230.1550680773571,121.42592479467429,0.7800000003887767,4,0.4339621997086865,0.02912409903995655,28685.455484046117,8674.456572033696,0.18,False,1.4890231685387453e-05,-0.046817434917338724,0.0,op_mission:main_route:descent
327,1145.3304282241288,11359.164992411459,248038.73614075387,43584.698107805976,230.1550680773571,121.94262978438412,0.7800000003887767,4,0.4302859773126994,0.028985778699245207,28792.706938732772,8748.438655168115,0.18000000000000002,False,1.498774051238616e-05,-0.04689596632165146,0.0,op_mission:main_route:descent
328,1150.3304282241288,11305.218049516969,249188.24630225514,43584.042511163716,230.1550680773571,122.46240513491375,0.7800000003887767,4,0.4266347283498514,0.02885020725781581,28902.86657902748,8823.177308088823,0.18,False,1.5085657122895876e-05,-0.046979544625513896,0.0,op_mission:main_route:descent
329,1155.3304282241288,11251.175032701438,250337.75195094757,43583.3769940257,230.1550680773571,122.98532759974158,0.7800000003887767,4,0.4230079576592944,0.028717322990972093,29015.961668805292,8898.689271362806,0.18,False,1.5183992548261559e-05,-0.04706819489315263,0.0,op_mission:main_route:descent
330,1160.3304282241288,11197.03011211499,251487.2528041952,43582.70140586777,230.1550680773571,123.51147532829341,0.7800000003887767,4,0.41940518120932296,0.028587039715155346,29131.99421898562,8974.991711736773,0.18,False,1.5282757971428292e-05,-0.047161882119842735,0.0,op_mission:main_route:descent
331,1165.3304282241288,11142.777498219304,252636.7485797106,43582.01559273714,230.1550680773571,124.04092721256568,0.7800000003887767,4,0.41582593049323885,0.028459302105598362,29250.996453295797,9052.102133999713,0.18,False,1.538196460077939e-05,-0.04726064121056041,0.0,op_mission:main_route:descent
332,1170.3304282241288,11088.411361430803,253786.2389916815,43581.319397164196,230.1550680773571,124.57376368442982,0.7800000003887767,4,0.41226974698334423,0.028334049761710146,29372.99526214694,9130.038503181639,0.18,False,1.5481623816347777e-05,-0.04736449352901238,0.0,op_mission:main_route:descent
333,1175.3304282241288,11033.925847691371,254935.72375140424,43580.61265805652,230.1550680773571,125.11006658739802,0.7800000003887767,4,0.40873618304336734,0.02821120977366476,29498.004134831957,9208.81923363848,0.18,False,1.55817471417243e-05,-0.04747342804514077,0.0,op_mission:main_route:descent
